player_id,nickname,level,対局数,和了率,ツモ率,ダマ率,放銃率,副露率,立直率,平均和了点,最大連荘数,平均和了巡目,平均放銃点,流局率,流局時テンパイ率,一発率,裏ドラ率,被親倍満以上率,平均被弾点数,放銃時立直率,放銃時副露率,立直後放銃率,立直後非即時放銃率,副露後放銃率,立直後和了率,副露後和了率,立直後流局率,副露後流局率,立直への放銃回数,副露への放銃回数,ダマへの放銃回数,立直和了回数,副露和了回数,ダマ和了回数,平均立直巡目,立直収支,立直収入,立直支出,先制立直率,追っかけ立直率,被追っかけ立直率,フリテン立直率,立直時良形率,立直時多面待ち率,立直時良形率2,役満回数,最大合計翻数,ダブル立直回数,打点効率,放銃損失,純打点効率,平均配牌シャンテン数,親番平均配牌シャンテン数,子番平均配牌シャンテン数
124845752,Terrie_JP,10702,2465,0.2081135902636917,0.35282651072124754,0.1695906432748538,0.08356997971602434,0.32697768762677487,0.15375253549695742,6260,5,11.615009746588694,4991,0.14482758620689656,0.38375350140056025,0.195,0.29,0.1017191977077364,10107,0.17475728155339806,0.4077669902912621,0.09498680738786279,0.0712401055408971,0.10421836228287841,0.5277044854881267,0.2803970223325062,0.16094986807387862,0.17369727047146402,72,110,26,200,226,87,9.298812664907652,3536,7970,6367,0.8179419525065963,0.1820580474934037,0.20580474934036938,0.0079155672823219,0.7519788918205804,0.7519788918205804,0.5224274406332454,,8,3,1303,417,886,3.4730223123732253,3.1547420965058235,3.5756437768240343
68391671,すーさんこー,10702,5277,0.2135683153306803,0.36557231588287487,0.17213842058562556,0.1112374455182869,0.3299223043395869,0.1453477354557514,6296,5,12.002883762200533,5463,0.14762175478491568,0.36585365853658536,0.18639798488664988,0.3350125944584383,0.09410007468259896,10200,0.18568994889267462,0.3424190800681431,0.1421121251629726,0.11864406779661017,0.1154508902929351,0.5176010430247718,0.30786904078116023,0.13689700130378096,0.15623205054566341,211,286,103,397,536,194,8.969035202086049,3489,8663,6401,0.81877444589309,0.18122555410691005,0.2046936114732725,0.010430247718383311,0.758800521512386,0.758800521512386,0.5176010430247718,3,11,5,1345,608,737,3.475838544627629,3.140552995391705,3.5856603773584905
105939421,Robin1932,10707,110997,0.20532086452787013,0.39776217639315486,0.1815269855199649,0.11877798499058533,0.26315125634026143,0.16799553141075885,6667,8,12.204113646336113,5291,0.14487778948980604,0.40009949629998137,0.19168173598553345,0.3184767577917243,0.09653034208876193,10297,0.20122876213592233,0.3058252427184466,0.14227489676623586,0.10945460395774119,0.13803964531480023,0.5041561645304875,0.31675168612413984,0.13364080012870702,0.15320620356739362,5075,6266,1991,9401,9252,4137,9.146913712661554,3111,8253,6697,0.805491499973186,0.19450850002681397,0.2082908778892047,0.0074006542607389925,0.7624282726443932,0.7624282726443932,0.553601115460932,20,12,63,1369,628,740,3.485490598845014,3.1638378813373325,3.5905999354522526
17563283,Highconduct,10501,370,0.20810810810810812,0.36363636363636365,0.15584415584415584,0.13243243243243244,0.3054054054054054,0.21081081081081082,7016,3,12.198051948051948,6518,0.13243243243243244,0.6122448979591837,0.15151515151515152,0.24242424242424243,0.11494252873563218,10080,0.2653061224489796,0.40816326530612246,0.16666666666666666,0.14102564102564102,0.17699115044247787,0.4230769230769231,0.2831858407079646,0.21794871794871795,0.12389380530973451,23,21,6,33,32,12,9.467948717948717,2167,8294,7862,0.7948717948717948,0.20512820512820512,0.20512820512820512,0.02564102564102564,0.717948717948718,0.717948717948718,0.4358974358974359,,8,,1460,863,597,3.4567567567567568,3.2637362637362637,3.5197132616487457
8629386,澜猫猫,10701,3272,0.21026894865525672,0.40261627906976744,0.15261627906976744,0.13722493887530562,0.3019559902200489,0.18123471882640588,6897,5,12.442223837209303,5059,0.132640586797066,0.45161290322580644,0.2120253164556962,0.34810126582278483,0.09198113207547169,9818,0.19599109131403117,0.2873051224944321,0.14839797639123103,0.11804384485666104,0.1305668016194332,0.5328836424957841,0.2702429149797571,0.13659359190556492,0.15890688259109312,148,242,68,316,267,105,8.982715008431704,3121,7894,6867,0.8246205733558178,0.17537942664418213,0.22934232715008432,0.003372681281618887,0.7419898819561551,0.7419898819561551,0.4671163575042159,,11,4,1450,694,756,3.485635696821516,3.1875776397515527,3.5828942034860156
13323571,阿玛菲特,10701,1050,0.21714285714285714,0.37280701754385964,0.11403508771929824,0.13714285714285715,0.3819047619047619,0.1819047619047619,6398,5,12.174342105263158,5384,0.13238095238095238,0.5251798561151079,0.1702127659574468,0.24468085106382978,0.09019607843137255,9830,0.24305555555555555,0.3958333333333333,0.18324607329842932,0.14136125654450263,0.14214463840399003,0.49214659685863876,0.26932668329177056,0.14136125654450263,0.14962593516209477,50,63,31,94,108,26,9.242146596858639,2341,7397,6589,0.8324607329842932,0.16753926701570682,0.225130890052356,0.005235602094240838,0.6730769230769231,0.6730769230769231,0.4519230769230769,,10,,1389,738,651,3.5285714285714285,3.2063492063492065,3.6767955801104972
104661237,2022マサくん,10701,2306,0.2059843885516045,0.38526315789473686,0.15157894736842106,0.11058109280138768,0.2983521248915872,0.17215958369470946,6211,4,12.382105263157895,5364,0.14614050303555942,0.3798219584569733,0.1497326203208556,0.28342245989304815,0.087248322147651,10377,0.2549019607843137,0.3215686274509804,0.163727959697733,0.1309823677581864,0.11918604651162791,0.47103274559193953,0.313953488372093,0.163727959697733,0.13226744186046513,86,142,31,187,216,72,9.086901763224182,2617,7971,6595,0.8413098236775819,0.15869017632241814,0.20151133501259447,0.007556675062972292,0.743073047858942,0.743073047858942,0.491183879093199,,9,1,1279,593,686,3.471379011274935,3.1159929701230227,3.5877950489349453
1099104,乌兰麦朵,10501,1334,0.21889055472263869,0.3561643835616438,0.1541095890410959,0.15217391304347827,0.3058470764617691,0.17766116941529236,6739,4,12.333047945205479,5317,0.1401799100449775,0.46524064171123,0.16101694915254236,0.3305084745762712,0.08761329305135952,10955,0.23645320197044334,0.28078817733990147,0.20253164556962025,0.1308016877637131,0.13970588235294118,0.4978902953586498,0.3161764705882353,0.1308016877637131,0.1642156862745098,75,104,25,118,129,45,9.221518987341772,2986,8708,6500,0.8227848101265823,0.17721518987341772,0.2109704641350211,0.004219409282700422,0.6877637130801688,0.6877637130801688,0.47257383966244726,2,10,,1475,809,666,3.464767616191904,3.181547619047619,3.5601202404809618
70218284,だーじりんP,10701,38990,0.20979738394460118,0.3980440097799511,0.07322738386308068,0.12459605026929982,0.3672993075147474,0.18951013080276993,6501,5,12.141839853300734,5422,0.14516542703257246,0.4565371024734982,0.19001701644923427,0.32444696539988654,0.09610337169392287,10244,0.21552079044874434,0.39419514203375877,0.1416971173365814,0.11002842062525375,0.13371971231059285,0.47719583164162943,0.2831506179736052,0.16064420083908512,0.15976537951260386,1707,2469,740,3526,4055,599,9.345479767221546,2887,8285,6999,0.8212207335228041,0.17877926647719583,0.2054405196914332,0.013668967383949113,0.7421843280552172,0.7421843280552172,0.4933008526187576,7,13,22,1364,676,688,3.4840471915875866,3.159837962962963,3.589874290970412
70143379,elemoi_,10702,24340,0.2266228430566968,0.3799854967367658,0.126178390137781,0.13541495480690222,0.3564502875924404,0.19293344289235825,6414,7,12.182514503263235,5487,0.13393590797041907,0.4742331288343558,0.1882404563405002,0.3168056164984642,0.10740740740740741,10514,0.2196601941747573,0.3592233009708738,0.15417376490630325,0.12052810902896081,0.13646841862609496,0.48530664395229983,0.29287690179806364,0.14160988074957412,0.15237436606731214,1264,1621,448,2279,2541,696,9.200862436115843,2774,8113,6877,0.7964224872231687,0.20357751277683134,0.20400340715502555,0.005749574105621806,0.6850924918389554,0.6850924918389554,0.47501249375312343,7,11,17,1454,743,711,3.4771980279375514,3.1511454183266934,3.591634325140147
