"game_date","analysis_target","game_ID","tile_List","winner","Loser","gamelog_json"
"2022/8/11 05:07","Dさん","東1-0","6p9m6p6m3m5m3p7m8s4p8p2m1s6z7m6s3s5p1z8m4m3m1m6p8m5p1s4p9m8m2z4m4z1z6m5z9s2p4m9p1p2z2p5m6z1z2m5p3m3p1s0m8s1s5z1z5m6z7z9s9p2s6s7p7s4s4m6m9s2m8p3z7z2p4z2p1m5z7p8s4z0s8s",P1,P2,"{'dan':['雀豪★3','雀豪★3','雀聖★2','雀豪★1'],'lobby':0,'log':[[[0,0,0],[25000,25000,25000,25000],[27],[],[11,17,21,23,27,32,34,34,34,37,37,42,43],[45,16,17,12,36,18,26,24,14,45,29,15,25,51,45,47,36,14],[11,43,42,60,45,17,37,21,60,60,60,32,34,34,60,60,60,37],[18,21,23,24,24,27,29,32,32,35,36,42,43],[26,13,38,31,33,14,18,19,44,39,21,46,13,'c343536',41,39,27,16],[43,18,42,38,32,29,60,60,60,60,24,60,21,14,21,60,41,23],[12,13,16,17,21,52,28,29,33,36,37,39,47],[19,15,24,46,25,13,25,18,41,22,42,41,23,38,15,29,37,39],[21,47,39,60,19,33,24,60,60,60,60,60,12,'r23',60,60,60,60],[11,19,19,26,28,33,33,35,35,43,44,46,47],[26,23,28,17,41,11,31,42,16,14,22,12,31,31,46,32,34],[11,47,46,44,60,17,11,43,23,60,60,42,16,60,60,12,32],['流局',[-1500,-1500,1500,1500]]]],'name':['Aさん','Bさん','Cさん','Dさん'],'rate':[3172.0,781.0,3534.0,1291.0],'ratingc':'PF4','rule':{'aka':0,'aka51':1,'aka52':1,'aka53':1,'disp':'玉の間南喰赤'},'sx':['C','C','C','C']}"
"2022/8/11 05:07","Dさん","東1-1","2p7p6m9s2s6z6s5s7z5z1p4s3m6p9s7m9s4z3s1z2m2s5z2z1z1m1p2p8s2p2m8p4p5z9m6z3z8p8p3z9m3s6p4m7m3p2m7s9p3z9p1p8s5m6p1z7p7z8m1s8p4z7z8m5z4s5p2z7s2z9p4z1z6z5s1m9m8s1s3p9p9m4z",P4,P3,"{'dan':['雀豪★3','雀豪★3','雀聖★2','雀豪★1'],'lobby':0,'log':[[[1,1,1],[23500,23500,25500,26500],[31],[38],[11,11,14,15,15,16,18,18,24,52,25,33,37],[16,36,21,39,44,32,41,38],[37,60,60,16,39,15,60,44],[13,51,16,17,17,24,24,27,31,32,32,36,42],[43,39,35,34,'c165117',33,'c151617',11,22],[60,60,42,31,13,27,36,60,60],[13,14,23,33,53,35,36,36,37,38,39,46,47],[22,32,47,13,17,41,45,21,12],[47,46,60,39,13,60,60,36,17],[12,13,14,16,21,22,23,25,26,27,31,34,34],[27,46,45,26,39,12,42,22,28],[31,60,60,'r16',60,60,60,60],['和了',[-800,-1400,-800,5000],[3,3,3,'20符3飜700-1300点','門前清自摸和(1飜)','平和(1飜)','立直(1飜)','裏ドラ(0飜)']]]],'name':['Aさん','Bさん','Cさん','Dさん'],'rate':[3172.0,781.0,3534.0,1291.0],'ratingc':'PF4','rule':{'aka':0,'aka51':1,'aka52':1,'aka53':1,'disp':'玉の間南喰赤'},'sx':['C','C','C','C']}"
"2022/8/11 05:07","Dさん","東2-0","6s2p2p7z2s2z1z7p3p6p5p9s3m7z3m6z2m8s7m2m5z3z1m7m8m3z4p5s1z3m1s1m4z6m2s7s6s5s6z3m8s8m5m4s3p0m6z1p1z8p2m9p1m2z2m6p5p7z7m9p4s4m5p7p4p6s7p3z1p9p5m1s3s8m4s1s4z6m3z8p8s4z8p",P1,P2,"{'dan':['雀豪★3','雀豪★3','雀聖★2','雀豪★1'],'lobby':0,'log':[[[2,0,0],[22700,22100,24700,30500],[43],[],[16,18,21,21,23,26,29,31,33,37,41,44,45],[22,42,'c232122',13,46,12,17,35,11,37],[29,60,37,60,16,60,60,41,18,60],[11,14,14,17,19,24,52,27,53,38,39,42,45],[22,41,26,47,12,45,18,41,44],[42,45,11,60,60,60,41,60,39],[15,19,19,19,22,26,28,32,32,36,39,42,46],[47,47,27,25,'p474747','3232p32',38,43,43,13,16],[42,39,22,46,15,36,60,60,60,60,60],[14,16,22,23,24,33,33,34,35,37,37,39,45],[36,32,23,39,'c151416',13,17,11,24,31,32],[45,39,60,60,32,60,60,60,60,60,60],['和了',[-1000,0,0,1000],[3,0,3,'30符1飜1000点','断幺九(1飜)']]]],'name':['Aさん','Bさん','Cさん','Dさん'],'rate':[3172.0,781.0,3534.0,1291.0],'ratingc':'PF4','rule':{'aka':0,'aka51':1,'aka52':1,'aka53':1,'disp':'玉の間南喰赤'},'sx':['C','C','C','C']}"
"2022/8/11 05:07","Dさん","東3-0","4m3z2m1z8s9m5s3m3m8s9m2p3s4m2z8p5m4m3z8s4p8m4z5p7s4m3p7m1p3s1s8p6z6s2m2m4p9s7p2z4z1m3s2p2s6p6z9m9m1z4s9p9p3p6m7m3z7p4s1p1z9s2m1m1m1s3m4p3z8p4s7s8m4z5s2s5m7s5z7m3m1s8p",P1,P2,"{'dan':['雀豪★3','雀豪★3','雀聖★2','雀豪★1'],'lobby':0,'log':[[[3,0,0],[21700,22100,24700,31500],[45],[],[16,18,18,52,29,34,37,41,44,45,45,47,47],[14,'p474747','p454545',38,14,14,43,'p181818',14],[29,44,37,60,34,52,60,41,60],[15,21,24,26,27,27,32,32,36,42,46,46,47],[43,38,'c373638',19,42,38,44,23],[21,47,42,60,60,43,60,26],[11,51,16,16,21,22,23,31,33,36,36,38,39],[12,19,13,22,28,24,25,17],[39,60,38,60,60,60,60,16],[17,22,23,25,25,26,26,29,53,35,39,42,45],[47,41,35,13,33,15,'2525p52',18,37],[39,47,45,42,41,29,22,60,23],['和了',[12000,0,-12000,0],[0,2,0,'跳満12000点','対々和(2飜)','混一色(2飜)','役牌 中(1飜)','役牌 白(1飜)']]]],'name':['Aさん','Bさん','Cさん','Dさん'],'rate':[3172.0,781.0,3534.0,1291.0],'ratingc':'PF4','rule':{'aka':0,'aka51':1,'aka52':1,'aka53':1,'disp':'玉の間南喰赤'},'sx':['C','C','C','C']}"
"2022/8/11 05:07","Dさん","東4-0","3m6m1p1z1z7z4m7z4z4s1z2s4z4p5p7z1s3z1s6s6m7p5m4p7m5z4s1m1p6z1m7s6s9s3s6p6z4m2s6m8p5m3s3s8s3p5s3m5s7s7p6s5m5s4p0p5z9m1m1s8s9m7p5z3m3p2s7m7s2z2z2p8p2p1m9p9p8p2p2m3z6p5p",P3,ツモ,"{'dan':['雀豪★3','雀豪★3','雀聖★2','雀豪★1'],'lobby':0,'log':[[[4,0,0],[33700,22100,12700,31500],[22,29],[28,29],[12,13,14,14,18,19,23,29,32,34,39,42,43],[46,41,47,32,47,31,15,34,11,33,14],[29,39,43,47,42,60,47,41,46,60,19],[12,17,17,18,26,29,31,33,36,44,44,45,47],[13,41,44,44,31,36,24,11,25,37,26],[29,47,41,45,36,60,33,'444444a44','r17',60,60],[12,22,23,24,25,27,34,53,37,39,41,42,46],[16,47,34,24,'c365337',16,17,21,36,'c262425'],[41,60,46,42,12,39,27,17,60,21],[51,16,18,18,19,21,21,26,28,38,38,39,43],[21,14,41,25,43,27,45,46,39,46],[43,39,60,19,60,28,60,60,60,60],['和了',[-2300,3300,0,0],[1,0,1,'70符1飜2300点','立直(1飜)','裏ドラ(0飜)']]]],'name':['Aさん','Bさん','Cさん','Dさん'],'rate':[3172.0,781.0,3534.0,1291.0],'ratingc':'PF4','rule':{'aka':0,'aka51':1,'aka52':1,'aka53':1,'disp':'玉の間南喰赤'},'sx':['C','C','C','C']}"
"2022/8/11 05:07","Dさん","南1-0","5z9p4z4p7p3m1m5p7p3s7s1p9m5p6m8p7m6s4p3p8s7m7m0m1z8p2p8m3p9m6z0p1s0s8m8s5p1z4s4s6z3s6p7z1s5m9s2m5z2m9m3z8p7m2p7z3m9p7p9p5s1s4p3p2m1z4p1m6s8p2z9s4z4m6p2z9p5s6z5s2p7s3z",P4,ツモ,"{'dan':['雀豪★3','雀豪★3','雀聖★2','雀豪★1'],'lobby':0,'log':[[[5,0,0],[31400,24400,12700,31500],[46],[],[11,12,14,14,21,22,31,32,33,33,38,44,47],[44,'44p4444',27,19,17,'c232122'],[38,33,60,60,60,47],[18,19,26,27,32,32,34,37,41,42,43,45,46],[47,24,13,33,25,36,38],[43,41,42,45,46,13,47],[13,13,14,15,15,16,23,32,34,37,42,43,44],[45,27,11,37,16,24,17],[43,44,45,42,27,11,13],[11,16,16,18,21,21,26,36,36,38,39,39,45],[29,25,21,28,23],[11,45,29,60,60],['和了',[2000,0,-2000,0],[0,2,0,'30符2飜2000点','三色同順(1飜)','役牌:自風牌(1飜)']]]],'name':['Aさん','Bさん','Cさん','Dさん'],'rate':[3172.0,781.0,3534.0,1291.0],'ratingc':'PF4','rule':{'aka':0,'aka51':1,'aka52':1,'aka53':1,'disp':'玉の間南喰赤'},'sx':['C','C','C','C']}"
"2022/8/11 05:07","Dさん","南2-0","7z1z9s3s2p8s9m6p7p0p4p6s1p7z1m6z5z4m9m9p5s3p4p9s8p9m8m5m4m8p3z8p1m5z3p3z7z1p7m7m5z5z2z2p3m6s3m3z8m1s3z1p4m1m4p4s6m6m1z6z2z2s3s5p7s7z2s1m5m1s6m9s8s2z7s2p4p5s7m2m5p6m6p",P3,ツモ,"{'dan':['雀豪★3','雀豪★3','雀聖★2','雀豪★1'],'lobby':0,'log':[[[6,0,0],[33400,24400,10700,31500],[17,24],[],[13,51,17,25,29,31,33,34,35,41,42,44,44],[41,38,52,47,14,23,'4444p44',19,28,45,47,45,13,43],[29,60,42,60,31,17,25,60,60,60,60,60,60,60],[14,21,26,27,27,28,29,29,31,34,34,38,44],[39,19,24,11,19,24,39,18,43,23,21,45,36,18],[31,60,21,60,60,44,38,14,60,60,60,60,28,36],[12,15,18,18,19,23,23,32,36,36,37,39,41],[46,33,26,36,46,29,28,15,28,'p232323',17,42,'p282828','m36363636',26],[19,46,39,37,60,60,12,41,33,32,60,60,26,0,60],[12,12,13,22,26,27,32,33,53,37,38,44,46],[47,22,27,21,45,35,'p121212',14,11,43,17,22,13],[46,47,44,60,60,32,13,60,60,60,27,38,60],['和了',[0,6400,-6400,0],[1,2,1,'25符4飜6400点','七対子(2飜)','ドラ(2飜)']]]],'name':['Aさん','Bさん','Cさん','Dさん'],'rate':[3172.0,781.0,3534.0,1291.0],'ratingc':'PF4','rule':{'aka':0,'aka51':1,'aka52':1,'aka53':1,'disp':'玉の間南喰赤'},'sx':['C','C','C','C']}"
"2022/8/11 05:07","Dさん","南3-0","3z8m5m3s8s4m2z3m7p5s9p6s7z2z3m2p5p6p3z6z9p8m6p2p0m2s7z8m6m4m6z4s9p9s3p1s1z6m3m5z9s2s4m5p5z8p5m8s7z7m6z6s7s5z6s1p3p9p1p5p1m6m7m8p4p7m5z7m8s1p4z9m4s2m7p9s1m4p9m6m6p5s1m",P4,ツモ,"{'dan':['雀豪★3','雀豪★3','雀聖★2','雀豪★1'],'lobby':0,'log':[[[7,0,0],[33400,30800,4300,31500],[19],[24],[12,14,15,22,22,52,26,27,32,39,42,44,44],[43,38,27,47,25,29,51,16,29,41,39,45,47],[39,43,38,32,42,47,12,15,60,60,60,60,60],[12,12,13,19,21,24,24,31,32,33,37,38,41],[18,14,35,42,26,18,32,14,39,16,32,28,17],[41,21,60,60,19,12,32,14,18,26,'r32',60],[27,28,28,31,31,34,53,35,37,41,43,46,47],[15,42,29,13,43,26,47,46,23,13,14,15],[43,41,42,47,46,43,60,60,29,31,31,28],[11,18,19,23,23,33,33,34,36,37,41,42,43],[44,33,13,36,22,46,22,18,34,31,45,25,38],[43,42,44,41,19,60,18,60,11,60,60,13,25],['和了',[-500,3000,-500,-1000],[1,1,1,'30符2飜500-1000点','門前清自摸和(1飜)','立直(1飜)','裏ドラ(0飜)']]]],'name':['Aさん','Bさん','Cさん','Dさん'],'rate':[3172.0,781.0,3534.0,1291.0],'ratingc':'PF4','rule':{'aka':0,'aka51':1,'aka52':1,'aka53':1,'disp':'玉の間南喰赤'},'sx':['C','C','C','C']}"
