_id,modeId,startTime,endTime,accountId,nickname,level,score,gradingScore
8YwLdBFpjcS,11,2023/1/11 14:06,2023/1/11 14:21,69922136,いおり530,10401,3400,-116
8YwK7uBpOF7,11,2023/1/11 13:45,2023/1/11 14:01,69922136,いおり530,10401,24800,35
8YwInzVW9Zh,11,2023/1/11 13:27,2023/1/11 13:42,69922136,いおり530,10401,19800,-10
8YwGOnI8qsQ,11,2023/1/11 12:54,2023/1/11 13:07,69922136,いおり530,10401,28200,39
8Yw2k3nadpB,11,2023/1/11 9:48,2023/1/11 10:06,69922136,いおり530,10401,27100,38
8YvzyhYQeY4,11,2023/1/11 9:10,2023/1/11 9:21,69922136,いおり530,10401,18200,-11
8Yvx2DbAouy,11,2023/1/11 8:30,2023/1/11 8:54,69922136,いおり530,10401,27100,38
8YufCuFIpk6,11,2023/1/10 14:19,2023/1/10 14:45,69922136,いおり530,10401,18000,-102
8Yudx3daiUc,11,2023/1/10 14:02,2023/1/10 14:11,69922136,いおり530,10401,19700,-10
8YuUoFoJ7Nh,11,2023/1/10 11:57,2023/1/10 12:10,69922136,いおり530,10401,31100,77
8YspwNY0wpq,11,2023/1/9 12:31,2023/1/9 13:00,69922136,いおり530,10401,20000,-100
8YsoEbicdJK,11,2023/1/9 12:08,2023/1/9 12:28,69922136,いおり530,10401,44800,90
8YskkaZ6few,11,2023/1/9 11:20,2023/1/9 11:47,69922136,いおり530,10401,19600,-100
8YsS81gjSg3,11,2023/1/9 7:06,2023/1/9 7:26,69922136,いおり530,10401,36600,82
8YsNQkh6ufS,11,2023/1/9 6:01,2023/1/9 6:22,69922136,いおり530,10401,12800,-107
8YsGlxb3Ytz,11,2023/1/9 4:30,2023/1/9 4:54,69922136,いおり530,10401,25800,36
8YsEjcdihcP,11,2023/1/9 4:03,2023/1/9 4:16,69922136,いおり530,10401,19300,30
8YsAWA5GvaQ,11,2023/1/9 3:05,2023/1/9 3:26,69922136,いおり530,10401,26100,-3
8Ys8lSRbWi3,11,2023/1/9 2:41,2023/1/9 2:55,69922136,いおり530,10401,19100,30
8Ys42f8uZEB,11,2023/1/9 1:36,2023/1/9 1:58,69922136,いおり530,10401,18700,-11
8YrzWItTptE,11,2023/1/9 0:35,2023/1/9 0:54,69922136,いおり530,10401,45700,91
8YryJVfwnyw,11,2023/1/9 0:18,2023/1/9 0:34,69922136,いおり530,10401,19500,-100
8YrIBfpjza8,11,2023/1/8 14:42,2023/1/8 14:55,69922136,いおり530,10401,100,-119
8YrFi76g3qp,11,2023/1/8 14:09,2023/1/8 14:42,69922136,いおり530,10401,35000,80
8Yr5q68tyMn,11,2023/1/8 11:54,2023/1/8 12:12,69922136,いおり530,10401,36400,82
8YqjOvhTes1,11,2023/1/8 6:47,2023/1/8 7:00,69922136,いおり530,10401,21600,-8
8YqcwoHT2GX,11,2023/1/8 5:19,2023/1/8 5:43,69922136,いおり530,10401,13400,-106
8YqSjZmu7NU,11,2023/1/8 2:59,2023/1/8 3:21,69922136,いおり530,10401,17900,-12
8YqQNiRbs9P,11,2023/1/8 2:27,2023/1/8 2:44,69922136,いおり530,10401,23500,-6
8YpXnk09pzm,11,2023/1/7 14:01,2023/1/7 14:16,69922136,いおり530,10401,8300,-111
8YpW2fFQa4u,11,2023/1/7 13:37,2023/1/7 13:58,69922136,いおり530,10401,47700,93
8YpMLSs2ic5,11,2023/1/7 11:25,2023/1/7 11:38,69922136,いおり530,10401,15000,-105
8YpFEN2J2Gl,11,2023/1/7 9:48,2023/1/7 10:11,69922136,いおり530,10401,16100,-103
