name,n_games,rate_runs_anomaly,rate_markov_anomaly,rate_comp_anomaly,mean_cramers_v,ks_p_runs,ks_p_markov,ks_p_comp,chi2_p_runs
Aさん,11,0.6363636363636364,0.18181818181818182,0.09090909090909091,0.15877481527247775,0.8,1.0,0.8,0.38359646409457926
Bさん,11,0.45454545454545453,0.09090909090909091,0.0,0.15508875668410688,1.0,0.8,1.0,0.6011320205830333
Cさん,11,0.45454545454545453,0.36363636363636365,0.0,0.15527253634204222,1.0,1.0,1.0,0.6011320205830333
Dさん,11,0.5454545454545454,0.6363636363636364,0.0,0.16203738957514338,1.0,0.8,1.0,0.8616628881185804
