index,name,seat,riichi_turn,tsumo_counts,naki_counts,total_draw_counts,riichi_turn_by_tsumo,p_runs,markov_p,p_empirical,entropy_bits,cramers_v,tsumogiri_count,points_gained,PC1,PC2,anomaly_flag,CUSUM,kmeans,dbscan,hmm_state
南4-0,Dさん,東,7.0,15,0.0,14,7.5,0.0061966636526663,0.0039985006993198,0.3836,0.6,0.162846839442427,7,25000,1.3828452100711173,2.0183561282918223,1,2,2,-1,0
南4-0,Bさん,西,,13,0.0,12,,0.2449506516981021,0.2550768494907518,0.6076,0.5584962500721157,0.1561245081464045,2,-8000,0.014160416985543961,-0.02157336753239328,1,2,1,1,1
東1-0,Aさん,東,12.0,16,0.0,15,12.8,0.0220753734782949,0.2546235409743339,0.7526,0.4503258334775646,0.1490993996350282,7,0,-0.42069280363194705,2.7564298772633973,1,2,0,-1,0
東1-0,Dさん,北,,13,2.0,15,,0.101014753732503,0.1748482590055459,0.3729,0.6251629167387822,0.162846839442427,9,-7700,1.0803011773630589,-0.8051491916297779,1,2,1,1,0
東1-0,Cさん,西,10.0,14,0.0,13,10.76923076923077,0.101014753732503,0.4207776542437732,0.5742,0.6666666666666666,0.1561245081464045,7,9700,0.7260148859228654,1.308041518401205,1,2,2,2,0
東1-0,Bさん,南,,14,0.0,13,,0.0061966636526663,0.0426539988982834,0.6588,0.4918295834054489,0.1490993996350283,5,0,-0.3135710155690975,1.1635097757599344,1,2,0,-1,0
東2-0,Aさん,北,,11,0.0,10,,0.0177187257567703,0.3176456994170243,0.4485,0.6251629167387822,0.162846839442427,2,-2000,0.6490928487019483,-0.20428069176431032,1,2,1,1,0
東2-0,Dさん,西,,11,0.0,10,,0.0448883712012402,0.0933918385829982,0.752,0.4918295834054489,0.1490993996350282,3,-2000,-0.7008053478354094,0.5692001777834854,1,2,0,3,0
東2-0,Cさん,南,8.0,12,0.0,11,8.727272727272727,0.101014753732503,0.1331990281122007,0.8296,0.4918295834054489,0.1417264968137398,5,8900,-0.8290889865647527,1.7255806617987186,1,2,0,-1,0
東2-0,Bさん,東,,12,0.0,11,,0.0448883712012402,0.6892407253485704,0.9888,0.3333333333333333,0.125689847458867,3,-3900,-3.0659067724335713,-0.025954606662877473,1,2,0,-1,0
東3-0,Bさん,北,,10,0.0,9,,0.101014753732503,0.5118152477193083,0.8359,0.4666666666666666,0.1417264968137398,3,7700,-1.653554760149674,-0.4149587958352735,1,2,0,0,0
東3-0,Aさん,西,,10,0.0,9,,0.0448883712012402,0.5749559043215831,0.5761,0.6,0.1561245081464045,5,0,-0.20941850683406188,-0.795767237243709,1,2,1,-1,0
東3-0,Dさん,南,,10,0.0,9,,0.5873235968543763,0.1844843236444213,0.7455,0.6,0.1490993996350282,3,0,-0.3970321324038583,-0.9643515372512067,1,2,1,-1,1
東3-0,Cさん,東,,11,0.0,10,,0.5873235968543763,0.2310743497902077,0.9875,0.3999999999999999,0.125689847458867,5,-7700,-2.4192621955516525,-0.4145621620789409,1,2,0,0,1
東4-0,Aさん,南,,9,0.0,8,,0.1081395835339431,0.3533161701112546,0.159,0.6754887502163469,0.1755208114761589,5,0,1.6558992011414304,-1.0212498336070042,1,2,1,-1,0
東4-0,Dさん,東,,10,1.0,11,,0.0061966636526663,0.0118529943779768,0.2155,0.7169925001442312,0.1693024636230036,4,-3900,1.943689108462158,-0.4855257003289033,1,2,2,-1,0
東4-0,Bさん,西,8.0,8,0.0,7,9.142857142857142,0.0061966636526663,0.1832209888165509,0.2801,0.6251629167387822,0.1693024636230036,0,0,1.3815486312364247,0.6840271776297558,1,2,2,2,0
東4-0,Cさん,北,,7,2.0,9,,0.0066598960787457,0.0966006160792048,0.9412,0.4666666666666666,0.1339483812021039,4,4900,-1.8019397792739549,-0.7761721855780368,1,2,0,0,0
