name,n_games,rate_runs_anomaly,rate_markov_anomaly,rate_comp_anomaly,mean_cramers_v,ks_p_runs,ks_p_markov,ks_p_comp,chi2_p_runs
Aさん,8,0.625,0.0,0.125,0.1649657185192923,1.0,1.0,0.8,0.6807238293409503
Bさん,8,0.75,0.25,0.0,0.14636042599512725,0.8,1.0,1.0,0.2170439077569385
Cさん,8,0.375,0.0,0.0,0.14635186109675666,0.8,1.0,1.0,0.2170439077569385
Dさん,8,0.5,0.5,0.0,0.16327849144455342,1.0,0.8,1.0,0.6807238293409503
